                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                   1.98,                 2.2217,                 1.8753,                0.50392,                0.58766,                0.38059,                0.20735,                0.91623,                 19.678,                 1.0257,             0.00093862,             0.00093862,             0.00093862
                     65,                 1.8551,                 2.1135,                 1.8818,                0.67646,                0.49075,                0.41758,                 0.2302,                0.78427,                 6.2874,                0.96596,             0.00093763,             0.00093763,             0.00093763
                     66,                   1.84,                  2.002,                 1.8482,                0.51964,                0.52564,                0.43174,                0.24132,                 1.0847,                 6.2422,                 1.1009,             0.00093664,             0.00093664,             0.00093664
                     67,                 1.8173,                 1.9207,                 1.8682,                0.53056,                0.56984,                0.44441,                0.22841,                 2.2612,                 9.3799,                 1.6184,             0.00093565,             0.00093565,             0.00093565
                     68,                 1.8869,                 1.9018,                 1.8391,                0.53979,                 0.4766,                0.45106,                0.25406,                 1.3714,                 7.4037,                 1.2299,             0.00093466,             0.00093466,             0.00093466
                     69,                 1.8608,                 2.1646,                 1.8684,                0.53818,                 0.5014,                0.46684,                0.23373,                0.85015,                 5.1342,                 0.9865,             0.00093367,             0.00093367,             0.00093367
                     70,                 1.7886,                 1.8053,                 1.8302,                0.71963,                0.54187,                0.48922,                0.27098,                0.77955,                 3.8235,                0.94874,             0.00093268,             0.00093268,             0.00093268
                     71,                 1.8309,                 2.0585,                 1.9132,                 0.8046,                0.50968,                0.48558,                0.25381,                0.84525,                 7.5649,                0.98953,             0.00093169,             0.00093169,             0.00093169
                     72,                 1.7575,                  1.822,                 1.7705,                 0.5937,                 0.5598,                0.48753,                0.27572,                0.76378,                  5.053,                0.92954,              0.0009307,              0.0009307,              0.0009307
                     73,                 1.7444,                 1.8096,                 1.8077,                 0.5021,                0.54889,                0.48736,                0.26344,                0.78334,                 7.6354,                0.94898,             0.00092971,             0.00092971,             0.00092971
